Player1,Player2,Result,FSP,FSW,SSP,SSW,ACE,DBF,NPA,NPW
Richard Gasquet,Michael Russell,1,63,55,64,16,7,7,6,59
Stephane Robert,Albano Olivetti,1,61,56,77,19,3,2,6,56
Jan-Lennard Struff,Guillaume Rufin,0,55,39,47,32,11,13,3,55
Aljaz Bedene,Dmitry Tursunov,0,52,59,39,19,13,8,6,55
Feliciano Lopez,Florent Serra,1,58,46,50,30,21,3,6,61
Kenny De Schepper,Bradley Klahn,0,59,32,67,37,20,11,2,71
Andrey Kuznetsov,Dudi Sela,0,53,41,35,44,8,8,3,59
Pablo Cuevas,Janko Tipsarevic,0,51,61,60,24,17,6,7,55
Ernests Gulbis,Andreas Haider-Maurer,0,58,32,62,31,15,8,3,49
Mikhail Kukushkin,Andrej Martin,1,51,65,53,27,4,5,7,49
Roberto Bautista Agut,Thomaz Bellucci,1,75,56,69,12,1,1,6,57
Nick Kyrgios,David Ferrer,0,69,56,77,9,8,3,3,55
Tommy Robredo,Marinko Matosevic,1,54,51,67,30,9,3,6,59
Robin Haase,Frank Dancevic,0,58,35,60,34,19,4,6,64
Albert Ramos,Bernard Tomic,0,55,24,67,42,9,9,6,68
Daniel Evans,Kei Nishikori,1,48,65,51,25,8,4,6,54
Fernando Verdasco,Ivan Dodig,0,59,42,62,23,5,14,5,57
Rhyne Williams,Nikolay Davydenko,0,55,44,37,26,11,9,6,57
Ryan Harrison,Rafael Nadal,0,62,59,59,10,11,2,2,72
Novak Djokovic,Ricardas Berankis,1,68,64,67,14,10,1,6,53
Benjamin Becker,Lukas Rosol,1,52,62,54,27,8,5,3,47
Lukasz Kubot,Jarkko Nieminen,0,38,72,36,27,5,14,5,59
Joao Sousa,Grigor Dimitrov,1,58,39,58,27,5,2,6,58
Tommy Haas,Paul-Henri Mathieu,1,59,62,51,15,14,5,6,56
Yen-Hsun Lu,Daniel Gimeno-Traver,1,67,51,75,19,4,4,7,56
Donald Young,Martin Klizan,1,74,61,71,10,3,7,6,47
Florian Mayer,Juan Monaco,1,65,66,69,15,5,1,6,63
Tobias Kamke,Steve Johnson,1,53,45,61,39,10,7,6,48
Denis Istomin,Nicolas Almagro,1,64,50,63,23,13,2,6,64
Julien Benneteau,Michal Przysiezny,1,61,51,56,25,7,6,5,58
Sergiy Stakhovsky,Jeremy Chardy,0,53,38,45,33,7,9,6,56
Jiri Vesely,Denis Kudla,0,55,50,65,30,10,8,2,63
Paolo Lorenzi,Tomas Berdych,0,48,73,41,11,2,6,4,56
Pablo Andujar,Thiemo de Bakker,1,60,56,44,19,5,3,6,52
Thomas Fabbiano,Milos Raonic,0,66,54,72,17,0,7,6,63
Jerzy Janowicz,Maximo Gonzalez,0,58,60,78,17,3,11,4,65
Jack Sock,Philipp Petzschner,1,51,64,41,29,6,8,3,46
Roger Federer,Grega Zemlja,1,60,59,69,21,12,2,6,49
Santiago Giraldo,Carlos Berlocq,0,58,37,60,30,9,6,6,64
Horacio Zeballos,Adrian Mannarino,0,52,56,52,29,8,7,4,57
Guido Pella,Sam Querrey,0,56,46,54,31,6,9,6,58
